id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,nama_unit_bank_sampah,alamat_bank_sampah,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH TERATAI INDAH,RW 10,2019
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH  MANDIRI,RW 11,2019
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210003,CIKUTRA,32.73.14,CIBEUNYING KIDUL,32.73.14.1002,CIKUTRA,BANK SAMPAH LESTARI HIJAU,RW 04,2019
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210003,CIKUTRA,32.73.14,CIBEUNYING KIDUL,32.73.14.1002,CIKUTRA,BANK SAMPAH LESTARI HIJAU,RW 07,2019
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210003,CIKUTRA,32.73.14,CIBEUNYING KIDUL,32.73.14.1002,CIKUTRA,BANK SAMPAH DAHLIA,RW 08,2019
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH SAUYUNAN,RW 01,2020
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH BUNGA TANJUNG,RW 02,2020
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH JEMBAR JAYA,RW 03,2020
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH NAWAWI,RW 04,2020
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH JEMBAR INDAH,RW 05,2020
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH BHAYANGKARA,RW 06,2020
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH TERATAI,RW 07,2020
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH MELATI,RW 08,2020
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH HEGAR RESIK,RW 09,2020
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH TERATAI INDAH,RW 10,2020
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH KENARI,RW 11,2020
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH ANGGREK,RW 12,2020
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH YUDHA,RW 13,2020
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH DAHLIA,RW 14,2020
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,3273210002,CICADAS,32.73.14,CIBEUNYING KIDUL,32.73.14.1003,CICADAS,BANK SAMPAH BERKAH,RW 15,2020
